Date,Day,Steps,Miles To Jog 
1/1/2025,Day 1,Walk 3000 steps,
1/3/2025,Day 3,Walk 3000 steps,
1/5/2025,Day 5,Walk 3000 steps,
,Optional Day 7,Walk 3000 steps,
1/7/2025,Day 1,Walk 4000 steps,
1/9/2025,Day 3,Walk 4000 steps,
1/11/2025,Day 5,Walk 4000 steps,
,Optional Day 7,Walk 4000 steps,
1/13/2025,Day 1,Walk 5000 steps,
1/15/2025,Day 3,Walk 5000 steps,
1/17/2025,Day 5,Walk 5000 steps,
,Optional Day 7,Walk 5000 steps,
1/19/2025,Day 1,Walk 6000 steps,
1/21/2025,Day 3,Walk 6000 steps,0.5
1/23/2025,Day 5,Walk 6000 steps,0.5
,Optional Day 7,Walk 6000 steps,0.5
1/25/2025,Day 1,Walk 6000 steps,0.5
1/27/2025,Day 3,Walk 6000 steps,0.5
1/29/2025,Day 5,Walk 6000 steps,0.5
,Optional Day 7,Walk 6000 steps,0.5
1/31/2025,Day 1,Walk 7000 steps,0.5
2/2/2025,Day 3,Walk 7000 steps,0.5
2/4/2025,Day 5,Walk 7000 steps,0.5
,Optional Day 7,Walk 7000 steps,0.5
2/6/2025,Day 1,Walk 8000 steps,0.5
2/8/2025,Day 3,Walk 8000 steps,0.5
2/10/2025,Day 5,Walk 8000 steps,0.5
,Optional Day 7,Walk 8000 steps,0.5
2/12/2025,Day 1,Walk 8000 steps,0.5
2/14/2025,Day 3,Walk 8000 steps,0.5
2/16/2025,Day 5,Walk 8000 steps,0.5
,Optional Day 7,Walk 8000 steps,0.5
2/18/2025,Day 1,Walk 6000 steps,1
2/20/2025,Day 3,Walk 6000 steps,1
2/22/2025,Day 5,Walk 6000 steps,1
,Optional Day 7,Walk 6000 steps,1
2/24/2025,Day 1,Walk 7000 steps,1
2/26/2025,Day 3,Walk 7000 steps,1
2/28/2025,Day 5,Walk 7000 steps,1
,Optional Day 7,Walk 7000 steps,1
3/2/2025,Day 1,Walk 8000 steps,1
3/4/2025,Day 3,Walk 8000 steps,1
3/6/2025,Day 5,Walk 8000 steps,1
,Optional Day 7,Walk 8000 steps,1
